filename,TP,FP,FN
117.png,15,0,1
58.png,17,5,2
259.png,20,0,0
86.png,8,0,1
60.png,9,0,0
10_1.png,15,0,2
153.png,12,0,3
24.png,11,0,0
29_1.png,13,0,0
233.png,14,3,2
99.png,75,1,4
27_1.png,13,0,0
31_1.png,7,0,0
210.png,8,0,4
170.png,5,4,0
6.png,1,5,5
249.png,4,2,1
88.png,15,28,7
286.png,14,5,0
53.png,6,1,0
79.png,9,0,0
18.png,3,5,2
177.png,5,0,0
213.png,56,0,4
94.png,7,2,3
207.png,2,0,1
67.png,8,2,2
72_2.png,10,2,1
78.png,5,4,0
257.png,6,0,0
118.png,15,0,0
21_1.png,4,0,4
180.png,37,2,0
273.png,5,0,0
241.png,13,0,0
44.png,10,2,0
229.png,0,3,4
25_1.png,14,3,0
26_1.png,6,0,0
112.png,7,0,0
298.png,8,0,0
216.png,10,6,0
182.png,5,0,0
181.png,49,26,2
173.png,15,2,0
75.png,0,0,3
215.png,4,0,1
49.png,6,0,0
243.png,7,0,0
32.png,0,4,2
16.png,9,0,1
17.png,9,0,0
291.png,11,0,0
280.png,13,0,2
30.png,11,0,0
107.png,3,0,0
192_1.png,26,1,6
141_1.png,15,3,3
63.png,6,6,7
54.png,8,0,0
169.png,23,2,1
193.png,4,2,0
148.png,4,0,0
218.png,8,3,0
106_1.png,27,8,19
204.png,6,1,3
26_2.png,6,0,0
144_1.png,17,8,3
183.png,6,2,0
222.png,9,3,0
279.png,22,0,0
109.png,22,0,0
149.png,10,3,2
28.png,2,2,1
68.png,14,0,0
1.png,14,0,0
122.png,3,0,1
150.png,10,0,0
124.png,5,0,2
120.png,23,0,2
190.png,4,2,0
70.png,15,2,0
164.png,4,0,0
151.png,3,5,1
111.png,11,0,1
145.png,11,1,1
84.png,17,3,3
239.png,4,0,1
136.png,14,2,0
262.png,16,2,6
212.png,9,1,0
22.png,15,1,2
134.png,19,0,2
50.png,12,0,1
125.png,0,0,1
268.png,15,2,0
76.png,0,2,1
101.png,30,5,0
115_1.png,22,5,0
231.png,18,0,2
87.png,8,0,0
97.png,32,6,0
113.png,13,0,2
146_2.png,2,0,3
295.png,10,3,0
266.png,5,0,2
184.png,3,8,0
51.png,6,0,1
224.png,11,0,0
129.png,7,0,0
160.png,5,0,1
297.png,5,0,5
165_1.png,0,16,5
2.png,5,2,0
133_2.png,12,0,0
102_1.png,34,3,5
197.png,4,4,0
43.png,12,2,1
292.png,10,2,0
167.png,5,0,0
236.png,0,0,10
126.png,9,3,0
208.png,6,0,0
251.png,3,0,1
95.png,14,0,0
128.png,16,0,1
138.png,11,0,1
11.png,15,0,1
52.png,3,3,3
36.png,19,0,0
163.png,32,10,10
171.png,3,3,4
189_1.png,0,24,6
220.png,5,2,0
121.png,11,1,0
219.png,15,6,0
235.png,4,0,0
15_1.png,10,0,0
274.png,0,0,7
161.png,4,6,3
131_2.png,5,0,0
263.png,12,8,1
234.png,15,2,1
114.png,6,2,1
72_1.png,23,11,3
39.png,10,4,1
103_1.png,22,1,1
244.png,7,2,0
275.png,36,2,0
288.png,6,0,0
281.png,7,1,0
14.png,8,0,0
175.png,2,0,0
123.png,12,0,1
237.png,2,0,8
139.png,7,0,0
228.png,3,0,3
152_2.png,25,0,0
77.png,21,1,1
285.png,5,0,1
186.png,36,6,0
188.png,0,0,2
256.png,4,5,1
38.png,11,3,3
158.png,2,0,0
205.png,0,0,2
227.png,55,0,0
176.png,4,2,0
196.png,2,1,0
142.png,6,2,1
7.png,5,0,2
206.png,7,0,0
166.png,17,43,0
82.png,5,3,8
245.png,0,0,2
140.png,0,0,3
143.png,68,1,1
91.png,8,3,0
225.png,16,2,0
162.png,0,43,25
71.png,7,6,1
255.png,9,1,2
74.png,20,3,0
81.png,3,0,0
221.png,18,0,0
201.png,2,0,0
258.png,25,8,1
254.png,13,0,2
282.png,9,2,0
248.png,0,4,4
3_1.png,17,4,0
200.png,6,0,0
9_1.png,7,11,3
0.png,12,0,0
187.png,13,2,0
5_1.png,5,0,1
132_2.png,10,0,0
267.png,6,0,0
272.png,12,0,1
108.png,12,1,0
61.png,12,0,0
100.png,18,1,2
147_2.png,13,0,0
202.png,0,0,3
12_1.png,13,3,0
131_1.png,12,1,0
250.png,4,0,10
157.png,13,4,1
89.png,8,9,2
178.png,8,0,1
40.png,12,5,8
199.png,4,0,0
66.png,43,11,19
209.png,5,0,1
179.png,3,1,1
276.png,11,0,0
119.png,14,0,0
90.png,11,2,2
116.png,57,9,6
127.png,36,8,1
137.png,3,6,4
185.png,4,4,2
69.png,16,2,0
296.png,17,4,2
289.png,5,0,0
290.png,14,0,1
240.png,7,0,0
104.png,20,5,0
287.png,15,0,0
246.png,9,0,0
191.png,23,0,2
283.png,0,2,0
19.png,9,0,1
105.png,15,0,0
278.png,10,1,1
92_1.png,29,3,1
